"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"PIBRAC - SAINT-CYPRIEN ARÈNES";130;"0,1096%";"4";40;"0,0373%";"2"
"SAINT-AGNE - VENERQUE - LE VERNET";128;"0,1085%";"5";83;"0,0782%";"4"
"PORT LA NOUVELLE - TOULOUSE MATABIAU";128;"0,1082%";"0";157;"0,1471%";"0"
"PAU - TARBES";128;"0,1079%";"1";107;"0,1006%";"1"
"MURET - SAINT-GAUDENS";128;"0,1079%";"2";128;"0,1198%";"1"
"CARCASSONNE - QUILLAN";126;"0,1068%";"0";123;"0,1154%";"0"
"BOUSSENS - SAINT-AGNE";126;"0,1065%";"2";47;"0,0442%";"1"
"MONTPELLIER SAINT-ROCH - VITROLLES AEROPORT MARSEILLE";126;"0,1062%";"0";113;"0,1055%";"0"
"MONTRÉJEAU - GOURDAN-POLIGNAN - TARBES";125;"0,1058%";"0";88;"0,0821%";"0"
"LALBENQUE FONTANES - TOULOUSE MATABIAU";125;"0,1056%";"1";94;"0,0880%";"1"
"BOUSSENS - TARBES";119;"0,1007%";"0";74;"0,0692%";"0"
"BORDEAUX ST JEAN - TOULOUSE MATABIAU";119;"0,1006%";"0";10;"0,0094%";"0"
"GAILLAC - SAINT-SULPICE";119;"0,1003%";"2";57;"0,0531%";"0"
"CASTELSARRASIN - MONTAUBAN";118;"0,1001%";"0";33;"0,0309%";"1"
"AVIGNON CENTRE - PONT SAINT ESPRIT";118;"0,0995%";"0";160;"0,1504%";"0"
"LONGAGES - NOÉ - TOULOUSE MATABIAU";117;"0,0988%";"5";89;"0,0836%";"6"
"CARCASSONNE - LÉZIGNAN (AUDE)";117;"0,0987%";"3";131;"0,1229%";"3"
"CARCASSONNE - MONTPELLIER SAINT-ROCH";116;"0,0981%";"1";128;"0,1205%";"0"
"AVIGNON CENTRE - PERPIGNAN";116;"0,0981%";"0";200;"0,1875%";"0"
"LUC PRIMAUBE - TOULOUSE MATABIAU";114;"0,0966%";"0";143;"0,1343%";"0"
"BEZIERS - MARSEILLE ST CHARLES";113;"0,0952%";"0";35;"0,0328%";"0"
"PERPIGNAN - PRADES MOLITG LES BAINS";110;"0,0933%";"0";21;"0,0197%";"0"
"BRIVE LA GAILLARDE - FIGEAC";109;"0,0925%";"0";52;"0,0492%";"0"
"BARAQUEVILLE CARCENAC PEYRALES - TOULOUSE MATABIAU";108;"0,0913%";"0";106;"0,0998%";"0"
"AGDE - NIMES";108;"0,0912%";"0";176;"0,1652%";"0"
"PERPIGNAN - SETE";108;"0,0911%";"0";135;"0,1268%";"0"
"ALES - MENDE";107;"0,0906%";"0";91;"0,0855%";"0"
"MONTPELLIER SAINT-ROCH - VILLENEUVE LES MAGUELONNE";107;"0,0901%";"4";114;"0,1068%";"4"
"BANYULS SUR MER - TOULOUSE MATABIAU";105;"0,0890%";"0";110;"0,1033%";"0"
"MOISSAC - MONTAUBAN";104;"0,0881%";"1";44;"0,0413%";"1"
"MENDE - NIMES";101;"0,0851%";"0";55;"0,0516%";"0"
"NAJAC - TOULOUSE MATABIAU";101;"0,0851%";"0";73;"0,0681%";"0"
"ALBI - SAINT-SULPICE";101;"0,0851%";"1";54;"0,0505%";"0"
"FRONTIGNAN - SETE";101;"0,0851%";"2";87;"0,0814%";"2"
"MONTPELLIER SAINT-ROCH - TOULON";100;"0,0843%";"0";94;"0,0878%";"0"
"CAZÈRES - SAINT-AGNE";99;"0,0835%";"1";41;"0,0387%";"1"
