"�..Parcours_2023";"Nombre.de.voyages_2023";"Poids.de.voyages_2023";"Nombre.d.abonnements_2023";"Nombre.de.voyages_2024";"Poids.de.voyages_2024";"Nombre.d.abonnements_2024"
"ESCALQUENS - PERPIGNAN";17;"0,0144%";"0";14;"0,0131%";"0"
"FIGEAC - SAINT-SULPICE";17;"0,0144%";"0";7;"0,0066%";"0"
"RABASTENS - COUFOULEUX - SAINT-SULPICE";17;"0,0144%";"1";6;"0,0054%";"0"
"ALES - LUNEL";17;"0,0143%";"0";10;"0,0097%";"0"
"MONTRÉJEAU - GOURDAN-POLIGNAN - PAU";17;"0,0142%";"0";7;"0,0068%";"0"
"FRONTIGNAN - PERPIGNAN";17;"0,0141%";"0";24;"0,0227%";"0"
"BAZIEGE - CASTELNAUDARY";17;"0,0141%";"0";8;"0,0074%";"0"
"CASTRES - MONTASTRUC LA CONSEILLERE";17;"0,0140%";"0";8;"0,0080%";"0"
"AGDE - LUNEL";16;"0,0139%";"0";22;"0,0202%";"0"
"SETE - VILLENEUVE LES MAGUELONNE";16;"0,0138%";"1";15;"0,0145%";"0"
"LACOURTENSOURT - MONTAUBAN";16;"0,0138%";"1";13;"0,0123%";"1"
"MERENVIELLE - SAINT-AGNE";16;"0,0138%";"1";5;"0,0051%";"0"
"CAHORS - SAINT-JORY";16;"0,0137%";"0";20;"0,0189%";"0"
"LA BASTIDE ST LAURENT L BAINS - MENDE";16;"0,0137%";"0";4;"0,0041%";"0"
"BAILLARGUES - TOULOUSE MATABIAU";16;"0,0137%";"0";28;"0,0263%";"0"
"BOUCOIRAN - NIMES";16;"0,0137%";"0";15;"0,0141%";"0"
"ARGELES SUR MER - LUNEL";16;"0,0135%";"0";4;"0,0038%";"0"
"BAGNOLS SUR CEZE - PONT SAINT ESPRIT";16;"0,0135%";"0";23;"0,0216%";"0"
"BANYULS SUR MER - COLLIOURE";16;"0,0135%";"0";11;"0,0103%";"0"
"BOLLENE LA CROISIERE - MONTPELLIER SAINT-ROCH";16;"0,0135%";"0";10;"0,0094%";"0"
"CARCASSONNE - COLLIOURE";16;"0,0135%";"0";19;"0,0178%";"0"
"CAVAILLON - MONTPELLIER SAINT-ROCH";16;"0,0135%";"0";8;"0,0075%";"0"
"MARSEILLE ST CHARLES - VERGÈZE - CODOGNAN";16;"0,0135%";"0";30;"0,0281%";"0"
"MONTAUDRAN - NARBONNE";16;"0,0135%";"0";32;"0,0297%";"0"
"AGDE - CARCASSONNE";16;"0,0135%";"0";20;"0,0189%";"0"
"BEZIERS - LEUCATE LA FRANQUI";16;"0,0134%";"0";10;"0,0097%";"0"
"AX LES THERMES - SAVERDUN";16;"0,0134%";"0";5;"0,0051%";"0"
"CASTRES - MONTAUBAN";16;"0,0134%";"0";13;"0,0119%";"0"
"CASTELNAU D'ESTRETEFONDS - CAUSSADE";16;"0,0134%";"0";8;"0,0077%";"0"
"LAVAUR - MONTASTRUC LA CONSEILLERE";16;"0,0133%";"0";13;"0,0118%";"0"
"ALBI - NAUCELLE";16;"0,0132%";"0";10;"0,0097%";"0"
"CERBERE - ELNE";16;"0,0132%";"0";12;"0,0116%";"0"
"MONTPELLIER SAINT-ROCH - VILLEFRANCHE DE LAURAGAIS";16;"0,0132%";"0";6;"0,0056%";"0"
"FOIX - VARILHES";16;"0,0132%";"0";7;"0,0063%";"0"
"NIMES - SAINT-MARTIN-DE-CRAU";16;"0,0132%";"0";18;"0,0172%";"0"
"PORT LA NOUVELLE - RIVESALTES";16;"0,0131%";"0";6;"0,0054%";"0"
"BRAX - LÉGUEVIN - L'ISLE JOURDAIN";15;"0,0130%";"0";8;"0,0073%";"1"
"CARBONNE - CAZÈRES";15;"0,0130%";"1";7;"0,0063%";"0"
"LAVAUR - SAINT-SULPICE";15;"0,0130%";"0";10;"0,0094%";"0"
"LES RAMASSIERS - SAINT-CYPRIEN ARÈNES";15;"0,0130%";"0";5;"0,0047%";"0"
"BAZIEGE - VILLEFRANCHE DE LAURAGAIS";15;"0,0130%";"1";21;"0,0196%";"0"
"CINTEGABELLE - PAMIERS";15;"0,0129%";"0";11;"0,0102%";"0"
"LEUCATE LA FRANQUI - SETE";15;"0,0129%";"0";8;"0,0079%";"0"
"ASSIER - RODEZ";15;"0,0128%";"0";8;"0,0071%";"0"
"FOIX - LATOUR DE CAROL ENVEITG";15;"0,0128%";"0";20;"0,0184%";"0"
"RODEZ - VIVIEZ DECAZEVILLE";15;"0,0127%";"0";15;"0,0139%";"0"
"BAZIEGE - LABEGE INNOPOLE";15;"0,0127%";"1";14;"0,0129%";"1"
"AGDE - VERGÈZE - CODOGNAN";15;"0,0127%";"0";13;"0,0117%";"0"
"BEDARIEUX - NARBONNE";15;"0,0127%";"0";7;"0,0066%";"0"
"BEZIERS - PORT BOU FRONTIERE";15;"0,0127%";"0";2;"0,0019%";"0"
"COLLIOURE - PORT VENDRES VILLE";15;"0,0127%";"0";3;"0,0028%";"0"
"DAX - TOULOUSE MATABIAU";15;"0,0127%";"0";8;"0,0075%";"0"
"GIMONT CAHUZAC - L'ISLE JOURDAIN";15;"0,0127%";"0";5;"0,0051%";"0"
"ISSOIRE - NIMES";15;"0,0127%";"0";3;"0,0025%";"0"
"MAURS - TOULOUSE MATABIAU";15;"0,0127%";"0";17;"0,0159%";"0"
"NIMES - ST CYR LES LECQUES LA CADIERE";15;"0,0127%";"0";2;"0,0019%";"0"
"FAUGA - SAINT-GAUDENS";15;"0,0126%";"0";6;"0,0052%";"0"
"CARBONNE - LANNEMEZAN";15;"0,0125%";"0";7;"0,0066%";"0"
"CARCASSONNE - LUNEL";15;"0,0125%";"0";6;"0,0052%";"0"
"COLOMIERS - GIMONT CAHUZAC";15;"0,0124%";"1";8;"0,0071%";"0"
"NIMES - PONT SAINT ESPRIT";15;"0,0124%";"0";16;"0,0152%";"0"
"ALES - SETE";15;"0,0124%";"0";14;"0,0136%";"0"
"BARAQUEVILLE CARCENAC PEYRALES - RODEZ";15;"0,0124%";"0";12;"0,0109%";"0"
"MENDE - VILLEFORT";15;"0,0123%";"0";12;"0,0111%";"0"
"PORT LA NOUVELLE - SETE";15;"0,0123%";"0";22;"0,0206%";"0"
"SAINT-JORY - SOUILLAC";14;"0,0122%";"0";10;"0,0096%";"0"
"ELNE - RIVESALTES";14;"0,0122%";"0";14;"0,0134%";"1"
"CASTELSARRASIN - VALENCE D'AGEN";14;"0,0121%";"0";2;"0,0016%";"0"
"CASTELNAUDARY - MONTAUDRAN";14;"0,0121%";"1";12;"0,0113%";"0"
"ARGELES SUR MER - BEZIERS";14;"0,0120%";"0";10;"0,0098%";"0"
"CASTELNAU D'ESTRETEFONDS - VALENCE D'AGEN";14;"0,0120%";"0";3;"0,0026%";"0"
"GRAMAT - RODEZ";14;"0,0120%";"0";10;"0,0092%";"0"
"SETE - TARASCON";14;"0,0119%";"0";20;"0,0191%";"0"
"ALES - FONS - SAINT-MAMERT";14;"0,0119%";"1";9;"0,0080%";"0"
"BOUSSENS - LONGAGES - NOÉ";14;"0,0118%";"0";22;"0,0203%";"0"
"BAGNERES-DE-LUCHON - MURET";14;"0,0118%";"0";10;"0,0092%";"0"
"LA SEYNE SIX FOURS - NIMES";14;"0,0118%";"0";3;"0,0028%";"0"
"NARBONNE - PORT VENDRES VILLE";14;"0,0118%";"0";8;"0,0075%";"0"
"COLOMIERS LYCEE INTERNATIONAL - MERENVIELLE";14;"0,0118%";"0";8;"0,0077%";"0"
"LAVILLEDIEU - MONTAUBAN";14;"0,0117%";"0";9;"0,0085%";"0"
"BAZIEGE - PERPIGNAN";14;"0,0117%";"0";9;"0,0088%";"0"
"CARCASSONNE - ELNE";14;"0,0117%";"0";30;"0,0281%";"0"
"MARSEILLAN PLAGE - MONTPELLIER SAINT-ROCH";14;"0,0116%";"0";2;"0,0016%";"0"
"CASTELNAU D'ESTRETEFONDS - MOISSAC";14;"0,0116%";"0";9;"0,0087%";"0"
"SAINT-AGNE - VERNET-D'ARIEGE";14;"0,0116%";"0";4;"0,0039%";"0"
"ALBI MADELEINE - SAINT-SULPICE";14;"0,0116%";"0";11;"0,0104%";"0"
"COLOMIERS - MERENVIELLE";14;"0,0116%";"1";9;"0,0083%";"0"
"LUNEL - TARASCON";14;"0,0116%";"0";14;"0,0128%";"0"
"TARASCON SUR ARIEGE - VARILHES";14;"0,0115%";"0";13;"0,0124%";"0"
"SAVERDUN - VARILHES";13;"0,0114%";"0";7;"0,0064%";"0"
"LATOUR DE CAROL ENVEITG - PORTET SAINT-SIMON";13;"0,0113%";"0";2;"0,0019%";"0"
"LISLE SUR TARN - RODEZ";13;"0,0113%";"0";9;"0,0084%";"0"
"BEZIERS - PORT LA NOUVELLE";13;"0,0113%";"1";14;"0,0132%";"0"
"COLOMIERS - COLOMIERS LYCEE INTERNATIONAL";13;"0,0113%";"1";10;"0,0096%";"0"
"NIMES - SAINT-CHÉLY-D'APCHER";13;"0,0112%";"0";16;"0,0150%";"0"
"BAGNERES-DE-LUCHON - SAINT-AGNE";13;"0,0112%";"0";4;"0,0039%";"0"
"AX LES THERMES - PAMIERS";13;"0,0112%";"0";10;"0,0097%";"0"
"ARGELES SUR MER - RIVESALTES";13;"0,0111%";"0";6;"0,0054%";"0"
"ELNE - NIMES";13;"0,0110%";"0";16;"0,0154%";"0"
"AUCH - MERENVIELLE";13;"0,0110%";"0";9;"0,0085%";"0"
"ARGELES SUR MER - PORT VENDRES VILLE";13;"0,0110%";"0";8;"0,0075%";"0"
"CANNES - MONTPELLIER SAINT-ROCH";13;"0,0110%";"0";18;"0,0169%";"0"
"MONTELIMAR GARE SNCF - NIMES";13;"0,0110%";"0";19;"0,0178%";"0"
"SETE - VIC - MIREVAL";13;"0,0110%";"0";5;"0,0050%";"0"
"CASTELSARRASIN - TARBES";13;"0,0109%";"0";1;"0,0013%";"0"
"BEZIERS - SALSES";13;"0,0108%";"0";14;"0,0131%";"0"
"CINTEGABELLE - FOIX";13;"0,0108%";"0";1;"0,0013%";"0"
"BRAM - LÉZIGNAN (AUDE)";13;"0,0108%";"1";9;"0,0082%";"0"
"ESCALQUENS - VILLEFRANCHE DE LAURAGAIS";13;"0,0107%";"1";14;"0,0130%";"1"
"BOUSSENS - PAU";13;"0,0107%";"0";4;"0,0039%";"0"
"TOULOUSE MATABIAU - VERGÈZE - CODOGNAN";13;"0,0107%";"0";24;"0,0229%";"0"
"CARBONNE - PORTET SAINT-SIMON";13;"0,0107%";"2";9;"0,0081%";"1"
"SAINT-CHÉLY-D'APCHER - ST ROME DE CERNON";13;"0,0107%";"0";7;"0,0062%";"0"
"BEDARIEUX - NIMES";13;"0,0107%";"0";12;"0,0116%";"0"
"FIGEAC - MONTAUBAN";13;"0,0107%";"0";19;"0,0177%";"0"
"AGDE - LÉZIGNAN (AUDE)";13;"0,0106%";"1";11;"0,0108%";"0"
"PORTET SAINT-SIMON - SAINT-GAUDENS";12;"0,0105%";"0";8;"0,0072%";"0"
"SAVERDUN - TARASCON SUR ARIEGE";12;"0,0105%";"0";12;"0,0111%";"0"
"CASTELNAUDARY - PORT LA NOUVELLE";12;"0,0105%";"0";9;"0,0085%";"0"
"RIVESALTES - SALSES";12;"0,0104%";"0";11;"0,0102%";"0"
"LONGAGES - NOÉ - SAINT-GAUDENS";12;"0,0104%";"0";17;"0,0164%";"0"
"COURSAN - MONTPELLIER SAINT-ROCH";12;"0,0104%";"0";7;"0,0065%";"0"
"LIMOUX - NARBONNE";12;"0,0103%";"0";10;"0,0089%";"0"
"BEDARIEUX - MONTPELLIER SAINT-ROCH";12;"0,0103%";"0";10;"0,0095%";"0"
"GAILLAC - LAVAUR";12;"0,0103%";"0";7;"0,0064%";"0"
"MAZAMET - VIELMUR SUR AGOUT";12;"0,0102%";"0";6;"0,0052%";"0"
"LÉZIGNAN (AUDE) - PORT LA NOUVELLE";12;"0,0102%";"0";8;"0,0080%";"0"
"AIGUES MORTES - NIMES";12;"0,0102%";"0";24;"0,0229%";"0"
"ARGELES SUR MER - NIMES";12;"0,0102%";"0";10;"0,0091%";"0"
"GRISOLLES - SAINT-JORY";12;"0,0102%";"1";8;"0,0074%";"0"
"AUCH - BORDEAUX ST JEAN";12;"0,0101%";"0";8;"0,0075%";"0"
"BAGNOLS SUR CEZE - NIMES";12;"0,0101%";"0";38;"0,0352%";"0"
"HYERES - NIMES";12;"0,0101%";"0";3;"0,0028%";"0"
"LES CABANNES - SAINT-AGNE";12;"0,0101%";"0";9;"0,0084%";"0"
"LIMOGES BENEDICTINS - TOULOUSE MATABIAU";12;"0,0101%";"0";54;"0,0506%";"0"
"BEZIERS - MARVEJOLS";12;"0,0101%";"0";5;"0,0047%";"0"
"NIMES - VILLENEUVE LES MAGUELONNE";12;"0,0101%";"0";25;"0,0238%";"0"
"MONTAUBAN - SAINT-AGNE";12;"0,0101%";"1";12;"0,0117%";"1"
"CASTELNAUDARY - NIMES";12;"0,0101%";"0";26;"0,0243%";"0"
"MILLAU - TOURNEMIRE ROQUEFORT";12;"0,0100%";"0";3;"0,0026%";"0"
"ALES - NARBONNE";12;"0,0100%";"0";10;"0,0095%";"0"
"MONTAUBAN - MONTBARTIER";12;"0,0099%";"0";8;"0,0076%";"0"
"AUBAGNE - MONTPELLIER SAINT-ROCH";12;"0,0099%";"0";11;"0,0100%";"0"
"BANYULS SUR MER - ELNE";12;"0,0099%";"0";9;"0,0081%";"0"
"SETE - VITROLLES AEROPORT MARSEILLE";12;"0,0099%";"0";28;"0,0258%";"0"
"AUTERIVE - VENERQUE - LE VERNET";12;"0,0099%";"0";9;"0,0086%";"1"
"CAZÈRES - PORTET SAINT-SIMON";12;"0,0099%";"1";9;"0,0089%";"0"
"PAMIERS - VENERQUE - LE VERNET";12;"0,0098%";"0";7;"0,0068%";"0"
"CHAMBORIGAUD - NIMES";11;"0,0097%";"0";5;"0,0047%";"0"
"LUZENAC GARANOU - SAINT-AGNE";11;"0,0096%";"0";4;"0,0041%";"0"
"AGDE - CASTELNAUDARY";11;"0,0096%";"0";4;"0,0035%";"0"
"DIEUPENTALE - LACOURTENSOURT";11;"0,0096%";"1";9;"0,0082%";"1"
"CASTELNAU D'ESTRETEFONDS - SAINT-JORY";11;"0,0096%";"1";8;"0,0079%";"0"
"PORTET SAINT-SIMON - VENERQUE - LE VERNET";11;"0,0096%";"1";9;"0,0086%";"0"
"LUNEL - SAINT-CHÉLY-D'APCHER";11;"0,0095%";"0";8;"0,0075%";"0"
"ALBI - LISLE SUR TARN";11;"0,0093%";"1";13;"0,0118%";"0"
"BRAM - LABEGE INNOPOLE";11;"0,0093%";"1";6;"0,0060%";"0"
"GALLIENI CANCÉROPÔLE - TOULOUSE MATABIAU";11;"0,0093%";"1";10;"0,0090%";"1"
"AGDE - TARASCON";11;"0,0093%";"0";10;"0,0094%";"0"
"CASTELNAUDARY - RIVESALTES";11;"0,0093%";"0";7;"0,0070%";"0"
"CERBERE - COLLIOURE";11;"0,0093%";"0";17;"0,0159%";"0"
"COLLIOURE - ELNE";11;"0,0093%";"0";13;"0,0119%";"0"
"FOIX - MONTAUBAN";11;"0,0093%";"0";6;"0,0053%";"0"
"HYERES - MONTPELLIER SAINT-ROCH";11;"0,0093%";"0";9;"0,0084%";"0"
"LE SOLER - PRADES MOLITG LES BAINS";11;"0,0093%";"0";1;"0,0009%";"0"
"NIMES PONT DU GARD - VITROLLES AEROPORT MARSEILLE";11;"0,0093%";"0";5;"0,0047%";"0"
"PAU - SAINT-GAUDENS";11;"0,0093%";"0";10;"0,0092%";"0"
"ALES - CHAMBORIGAUD";11;"0,0093%";"0";16;"0,0145%";"0"
"PINS JUSTARET - VENERQUE - LE VERNET";11;"0,0093%";"0";5;"0,0045%";"0"
"CINTEGABELLE - PORTET SAINT-SIMON";11;"0,0093%";"1";2;"0,0020%";"0"
"ALBIAS - CAHORS";11;"0,0092%";"0";11;"0,0100%";"0"
"CAHORS - GRISOLLES";11;"0,0091%";"0";4;"0,0036%";"0"
"ALBI - LUC PRIMAUBE";11;"0,0090%";"0";22;"0,0210%";"0"
"ARLES - BEZIERS";11;"0,0090%";"0";5;"0,0047%";"0"
"BANYULS SUR MER - PORT VENDRES VILLE";11;"0,0090%";"0";9;"0,0081%";"0"
"CARPENTRAS - NIMES";11;"0,0090%";"0";22;"0,0206%";"0"
"LARDENNE - SAINT-CYPRIEN ARÈNES";11;"0,0090%";"0";3;"0,0028%";"0"
"LABEGE VILLAGE - TOULOUSE MATABIAU";11;"0,0089%";"1";5;"0,0047%";"0"
"PERPIGNAN - TARBES";10;"0,0088%";"0";3;"0,0027%";"0"
"CARMAUX - LAVAUR";10;"0,0088%";"0";5;"0,0046%";"0"
"ALBI - PERPIGNAN";10;"0,0088%";"0";4;"0,0034%";"0"
"GENOLHAC - MONTPELLIER SAINT-ROCH";10;"0,0088%";"0";11;"0,0105%";"0"
"FAUGA - MURET";10;"0,0088%";"0";5;"0,0045%";"0"
"CARCASSONNE - FRONTIGNAN";10;"0,0087%";"0";2;"0,0014%";"0"
"CINTEGABELLE - PINS JUSTARET";10;"0,0087%";"1";3;"0,0026%";"0"
"AVIGNON CENTRE - CERBERE";10;"0,0087%";"0";11;"0,0099%";"0"
"LANGOGNE - SAINT-GENIÈS-DE-MALGOIRÈS";10;"0,0086%";"0";7;"0,0066%";"0"
"GOURDON - MONTAUBAN";10;"0,0086%";"0";18;"0,0170%";"0"
"CASTELSARRASIN - MOISSAC";10;"0,0085%";"0";2;"0,0016%";"0"
"AURILLAC - SAINT-DENIS-PRES-MARTEL";10;"0,0085%";"0";9;"0,0086%";"0"
"AVIGNON TGV - BAGNOLS SUR CEZE";10;"0,0085%";"0";9;"0,0084%";"0"
"BAILLARGUES - RIVESALTES";10;"0,0085%";"0";5;"0,0047%";"0"
"BEZIERS - VITROLLES AEROPORT MARSEILLE";10;"0,0085%";"0";18;"0,0164%";"0"
"BOUSSENS - LANNEMEZAN";10;"0,0085%";"0";10;"0,0092%";"0"
"CAHORS - DIEUPENTALE";10;"0,0085%";"0";13;"0,0120%";"0"
"LATOUR DE CAROL ENVEITG - MONT LOUIS LA CABANASSE";10;"0,0085%";"0";25;"0,0234%";"0"
"LEUCATE LA FRANQUI - NIMES";10;"0,0085%";"0";3;"0,0023%";"0"
"LOURDES - MONTRÉJEAU - GOURDAN-POLIGNAN";10;"0,0085%";"0";5;"0,0049%";"0"
"LUNEL - TOULON";10;"0,0085%";"0";2;"0,0019%";"0"
"NARBONNE - VITROLLES AEROPORT MARSEILLE";10;"0,0085%";"0";6;"0,0058%";"0"
"PARIS AUSTERLITZ - RODEZ";10;"0,0085%";"0";49;"0,0459%";"0"
"SETE - TOULON";10;"0,0085%";"0";9;"0,0084%";"0"
"TESSONNIERES - TOULOUSE MATABIAU";10;"0,0084%";"0";7;"0,0066%";"0"
"LIMOUX - TOULOUSE MATABIAU";10;"0,0084%";"0";13;"0,0122%";"0"
"AX LES THERMES - LATOUR DE CAROL ENVEITG";10;"0,0083%";"0";12;"0,0113%";"0"
"BEDARIEUX - MILLAU";10;"0,0083%";"0";6;"0,0054%";"0"
"BEZIERS - MENDE";10;"0,0083%";"0";12;"0,0117%";"0"
"AGDE - MILLAU";10;"0,0083%";"0";4;"0,0039%";"0"
"CASTELNAUDARY - PAMIERS";10;"0,0083%";"0";4;"0,0039%";"0"
"SAVERDUN - VENERQUE - LE VERNET";10;"0,0083%";"0";7;"0,0065%";"0"
"ALES - PERPIGNAN";10;"0,0082%";"0";4;"0,0038%";"0"
"BRAM - PERPIGNAN";10;"0,0082%";"0";18;"0,0166%";"0"
"FOIX - PINS JUSTARET";10;"0,0082%";"0";2;"0,0016%";"0"
"FRONTIGNAN - MARSEILLE ST CHARLES";10;"0,0082%";"0";13;"0,0117%";"0"
"LE ROUGET - TOULOUSE MATABIAU";10;"0,0082%";"0";11;"0,0103%";"0"
"ALES - VITROLLES AEROPORT MARSEILLE";10;"0,0082%";"0";9;"0,0088%";"0"
"BAGNERES-DE-LUCHON - LOURES-BARBAZAN";10;"0,0082%";"0";4;"0,0039%";"0"
"BAGNERES-DE-LUCHON - TARBES";10;"0,0081%";"0";14;"0,0128%";"0"
"CASTELNAUDARY - ESCALQUENS";10;"0,0081%";"0";17;"0,0163%";"0"
"AUTERIVE - TARASCON SUR ARIEGE";9;"0,0080%";"0";11;"0,0107%";"0"
"NIMES - VIC - MIREVAL";9;"0,0079%";"0";2;"0,0019%";"0"
"MERENVIELLE - TOULOUSE MATABIAU";9;"0,0079%";"0";6;"0,0061%";"0"
"LOURDES - SAINT-GAUDENS";9;"0,0079%";"0";7;"0,0068%";"0"
"FOIX - LES CABANNES";9;"0,0079%";"0";1;"0,0006%";"0"
"GENOLHAC - GRAND COMBE LA PISE";9;"0,0079%";"0";10;"0,0094%";"0"
"L'ISLE JOURDAIN - PIBRAC";9;"0,0079%";"0";6;"0,0061%";"0"
"NIMES - SORGUES - CHÂTEAUNEUF-DU-PAPE";9;"0,0079%";"0";3;"0,0025%";"0"
"ARGELES SUR MER - BANYULS SUR MER";9;"0,0079%";"1";22;"0,0210%";"1"
"COLOMIERS - GALLIENI CANCÉROPÔLE";9;"0,0079%";"1";7;"0,0062%";"0"
"CARMAUX - RABASTENS - COUFOULEUX";9;"0,0078%";"0";7;"0,0068%";"0"
"LAVAUR - TARBES";9;"0,0078%";"0";5;"0,0044%";"0"
"ALBI - GRAGNAGUE";9;"0,0078%";"0";1;"0,0009%";"0"
"ALBI - MONTASTRUC LA CONSEILLERE";9;"0,0077%";"0";1;"0,0013%";"0"
"ALBI MADELEINE - NAUCELLE";9;"0,0077%";"0";1;"0,0013%";"0"
"LONGAGES - NOÉ - MONTRÉJEAU - GOURDAN-POLIGNAN";9;"0,0077%";"0";9;"0,0085%";"0"
"ALBIAS - MONTAUBAN";9;"0,0077%";"0";2;"0,0016%";"0"
"LISLE SUR TARN - RABASTENS - COUFOULEUX";9;"0,0077%";"1";2;"0,0019%";"0"
"NIMES - UCHAUD";9;"0,0076%";"0";40;"0,0372%";"0"
"AIX EN PROVENCE - NIMES";9;"0,0076%";"0";9;"0,0084%";"0"
"ANDORRE - L'HOSPITALET - SAINT-AGNE";9;"0,0076%";"0";4;"0,0038%";"0"
"BAILLARGUES - VITROLLES AEROPORT MARSEILLE";9;"0,0076%";"0";1;"0,0006%";"0"
"BANYULS SUR MER - NIMES";9;"0,0076%";"0";2;"0,0019%";"0"
"BEZIERS - TOULON";9;"0,0076%";"0";7;"0,0066%";"0"
"BORDEAUX ST JEAN - FIGEAC";9;"0,0076%";"0";2;"0,0019%";"0"
"BORDEAUX ST JEAN - RODEZ";9;"0,0076%";"0";13;"0,0122%";"0"
"CAHORS - CASTELSARRASIN";9;"0,0076%";"0";8;"0,0075%";"0"
"CAHORS - VALENCE D'AGEN";9;"0,0076%";"0";5;"0,0050%";"0"
"CASTELNAUDARY - ELNE";9;"0,0076%";"0";1;"0,0013%";"0"
"CAVAILLON - NIMES";9;"0,0076%";"0";9;"0,0084%";"0"
"MONTPELLIER SAINT-ROCH - PIERRELATTE";9;"0,0076%";"0";19;"0,0178%";"0"
"TOULOUSE MATABIAU - TULLE";9;"0,0076%";"0";2;"0,0019%";"0"
"ARGELES SUR MER - CERBERE";9;"0,0076%";"0";12;"0,0113%";"0"
"CASTRES - VIELMUR SUR AGOUT";9;"0,0076%";"0";8;"0,0076%";"0"
"BEAUCAIRE - VERGÈZE - CODOGNAN";9;"0,0075%";"0";5;"0,0051%";"0"
"AUTERIVE - AX LES THERMES";9;"0,0074%";"0";3;"0,0032%";"0"
"ALBI - CASTELNAU D'ESTRETEFONDS";9;"0,0073%";"0";2;"0,0023%";"0"
"BAILLARGUES - SAINT-CHÉLY-D'APCHER";9;"0,0073%";"0";7;"0,0066%";"0"
"CARCASSONNE - LEUCATE LA FRANQUI";9;"0,0073%";"0";12;"0,0116%";"0"
"SAINT-CYPRIEN ARÈNES - TOULOUSE MATABIAU";9;"0,0073%";"0";10;"0,0094%";"0"
"CASTELNAU D'ESTRETEFONDS - LACOURTENSOURT";9;"0,0073%";"1";1;"0,0006%";"0"
"LARDENNE - L'ISLE JOURDAIN";9;"0,0073%";"1";8;"0,0070%";"1"
"ALES - VERGÈZE - CODOGNAN";9;"0,0073%";"0";9;"0,0088%";"0"
"AUBIN - TOULOUSE MATABIAU";9;"0,0073%";"0";6;"0,0053%";"0"
"DAMIATTE ST PAUL - MAZAMET";9;"0,0073%";"0";3;"0,0026%";"0"
"FIGEAC - FOIX";9;"0,0073%";"0";3;"0,0026%";"0"
"LE SOLER - PERPIGNAN";9;"0,0072%";"0";11;"0,0106%";"0"
"MARVEJOLS - MENDE";8;"0,0072%";"0";3;"0,0032%";"0"
"COLOMIERS - MURET";8;"0,0071%";"1";5;"0,0045%";"0"
"AGDE - RIVESALTES";8;"0,0071%";"0";9;"0,0083%";"0"
"AUCH - VENERQUE - LE VERNET";8;"0,0071%";"0";3;"0,0026%";"0"
"BEZIERS - ELNE";8;"0,0071%";"0";13;"0,0120%";"0"
"CASTRES - FIGEAC";8;"0,0071%";"0";6;"0,0053%";"0"
"LAVAUR - MONTAUBAN";8;"0,0071%";"0";1;"0,0013%";"0"
"SAINT-GAUDENS - SAVERDUN";8;"0,0071%";"0";10;"0,0092%";"0"
"BOUSSENS - LOURDES";8;"0,0071%";"0";13;"0,0118%";"0"
"AUBIET - AUCH";8;"0,0071%";"0";1;"0,0013%";"0"
"FOIX - VERNET-D'ARIEGE";8;"0,0070%";"0";2;"0,0021%";"1"
"CAUSSADE - VALENCE D'AGEN";8;"0,0070%";"0";12;"0,0111%";"0"
"LAVAUR - MONTRABE";8;"0,0070%";"0";2;"0,0016%";"0"
"LÉZIGNAN (AUDE) - RIVESALTES";8;"0,0070%";"0";5;"0,0044%";"0"
"ELNE - SETE";8;"0,0069%";"0";12;"0,0109%";"0"
"FOIX - RODEZ";8;"0,0069%";"0";3;"0,0026%";"0"
"AVIGNON CENTRE - CARCASSONNE";8;"0,0069%";"0";8;"0,0070%";"0"
"CRANSAC - RODEZ";8;"0,0069%";"0";7;"0,0068%";"0"
"BAZIEGE - MONTPELLIER SAINT-ROCH";8;"0,0068%";"0";4;"0,0041%";"0"
"BEDARIEUX - PERPIGNAN";8;"0,0068%";"0";8;"0,0070%";"0"
"BRIOUDE - NIMES";8;"0,0068%";"0";2;"0,0019%";"0"
"BRIVE LA GAILLARDE - LES QUATRE ROUTES";8;"0,0068%";"0";3;"0,0028%";"0"
"CAPDENAC - SAINT-SULPICE";8;"0,0068%";"0";1;"0,0009%";"0"
"CASTELNAUDARY - COLLIOURE";8;"0,0068%";"0";6;"0,0056%";"0"
"GAILLAC - SALLES COURBATIERS";8;"0,0068%";"0";1;"0,0009%";"0"
"LA CIOTAT-CEYRESTE - MONTPELLIER SAINT-ROCH";8;"0,0068%";"0";13;"0,0122%";"0"
"LA GARDE - NIMES";8;"0,0068%";"0";6;"0,0056%";"0"
"LANGEAC - NIMES";8;"0,0068%";"0";3;"0,0028%";"0"
"LES ARCS DRAGUIGNAN - MONTPELLIER SAINT-ROCH";8;"0,0068%";"0";10;"0,0094%";"0"
"MARVEJOLS - MILLAU";8;"0,0068%";"0";10;"0,0092%";"0"
"MILLAU - RODEZ";8;"0,0068%";"0";7;"0,0069%";"0"
"MIRAMAS - NARBONNE";8;"0,0068%";"0";5;"0,0042%";"0"
"ORTHEZ - TOULOUSE MATABIAU";8;"0,0068%";"0";8;"0,0075%";"0"
"RIVESALTES - VERGÈZE - CODOGNAN";8;"0,0068%";"0";4;"0,0038%";"0"
"RODEZ - ST CHRISTOPHE";8;"0,0068%";"0";1;"0,0009%";"0"
"ALBI - CAZÈRES";8;"0,0068%";"0";1;"0,0013%";"0"
