Parcours,DÇpart,ArrivÇe,Nombre de voyages,Poids de voyages,Nombre d'abonnements
TOULOUSE MATABIAU - VALENCE D'AGEN,TOULOUSE MATABIAU,VALENCE D'AGEN,227,"0,00266007312271492",0
BEZIERS - PERPIGNAN,BEZIERS,PERPIGNAN,221,"0,00258976281991188",0
CARCASSONNE - PERPIGNAN,CARCASSONNE,PERPIGNAN,219,"0,00256632605231087",0
BEZIERS - SETE,BEZIERS,SETE,215,"0,00251945251710884",0
TOULOUSE MATABIAU - VENERQUE - LE VERNET,TOULOUSE MATABIAU,VENERQUE,215,"0,00251945251710884",0
AVIGNON CENTRE - NARBONNE,AVIGNON CENTRE,NARBONNE,204,"0,00239055029530327",0
AGDE - BEZIERS,AGDE,BEZIERS,203,"0,00237883191150277",0
COLLIOURE - NARBONNE,COLLIOURE,NARBONNE,197,"0,00230852160869973",0
AGEN - MONTAUBAN,AGEN,MONTAUBAN,194,"0,00227336645729821",0
MURET - SAINT-AGNE,MURET,SAINT-AGNE,192,"0,0022499296896972",0
SAVERDUN - TOULOUSE MATABIAU,SAVERDUN,TOULOUSE MATABIAU,191,"0,00223821130589669",0
LUNEL - NIMES,LUNEL,NIMES,190,"0,00222649292209619",0
SOUILLAC - TOULOUSE MATABIAU,SOUILLAC,TOULOUSE MATABIAU,190,"0,00222649292209619",0
NARBONNE - PORT LA NOUVELLE,NARBONNE,PORT LA NOUVELLE,189,"0,00221477453829568",0
CERBERE - TOULOUSE MATABIAU,CERBERE,TOULOUSE MATABIAU,184,"0,00215618261929315",0
NAJAC - TOULOUSE MATABIAU,NAJAC,TOULOUSE MATABIAU,184,"0,00215618261929315",0
FOIX - SAINT-AGNE,FOIX,SAINT-AGNE,180,"0,00210930908409112",0
BEZIERS - TOULOUSE MATABIAU,BEZIERS,TOULOUSE MATABIAU,171,"0,00200384362988657",0
SAINT-AGNE - TARBES,SAINT-AGNE,TARBES,171,"0,00200384362988657",0
PERPIGNAN - SETE,PERPIGNAN,SETE,169,"0,00198040686228555",0
BRAM - TOULOUSE MATABIAU,BRAM,TOULOUSE MATABIAU,164,"0,00192181494328302",0
COLLIOURE - PERPIGNAN,COLLIOURE,PERPIGNAN,162,"0,00189837817568201",0
LATOUR DE CAROL ENVEITG - TOULOUSE MATABIAU,LATOUR DE CAROL ENVEITG,TOULOUSE MATABIAU,162,"0,00189837817568201",0
LISLE SUR TARN - TOULOUSE MATABIAU,LISLE SUR TARN,TOULOUSE MATABIAU,162,"0,00189837817568201",0
TOULOUSE MATABIAU - TOURNAY,TOULOUSE MATABIAU,TOURNAY,162,"0,00189837817568201",0
LêZIGNAN (AUDE) - TOULOUSE MATABIAU,LêZIGNAN (AUDE),TOULOUSE MATABIAU,160,"0,001874941408081",0
CAHORS - MONTAUBAN,CAHORS,MONTAUBAN,157,"0,00183978625667948",0
AGDE - NARBONNE,AGDE,NARBONNE,155,"0,00181634948907847",0
AVIGNON CENTRE - BEZIERS,AVIGNON CENTRE,BEZIERS,154,"0,00180463110527796",0
NIMES - VERG‘ZE - CODOGNAN,NIMES,VERG‘ZE,154,"0,00180463110527796",0
AGDE - NIMES,AGDE,NIMES,153,"0,00179291272147745",0
PORT BOU FRONTIERE - TOULOUSE MATABIAU,PORT BOU FRONTIERE,TOULOUSE MATABIAU,149,"0,00174603918627543",0
MONTASTRUC LA CONSEILLERE - TOULOUSE MATABIAU,MONTASTRUC LA CONSEILLERE,TOULOUSE MATABIAU,146,"0,00171088403487391",0
MONTPELLIER SAINT-ROCH - RIVESALTES,MONTPELLIER SAINT-ROCH,RIVESALTES,146,"0,00171088403487391",0
PINS JUSTARET - TOULOUSE MATABIAU,PINS JUSTARET,TOULOUSE MATABIAU,144,"0,0016874472672729",0
ANDORRE - L'HOSPITALET - TOULOUSE MATABIAU,ANDORRE,L'HOSPITALET,141,"0,00165229211587138",0
MONTPELLIER SAINT-ROCH - NIMES PONT DU GARD,MONTPELLIER SAINT-ROCH,NIMES PONT DU GARD,141,"0,00165229211587138",0
TOULOUSE MATABIAU - VILLEFRANCHE DE LAURAGAIS,TOULOUSE MATABIAU,VILLEFRANCHE DE LAURAGAIS,141,"0,00165229211587138",0
AVIGNON CENTRE - BAGNOLS SUR CEZE,AVIGNON CENTRE,BAGNOLS SUR CEZE,137,"0,00160541858066935",0
AUCH - SAINT-CYPRIEN AR‘NES,AUCH,SAINT-CYPRIEN AR‘NES,135,"0,00158198181306834",0
AVIGNON CENTRE - PERPIGNAN,AVIGNON CENTRE,PERPIGNAN,132,"0,00154682666166682",0
GIMONT CAHUZAC - TOULOUSE MATABIAU,GIMONT CAHUZAC,TOULOUSE MATABIAU,131,"0,00153510827786632",0
AGDE - AVIGNON CENTRE,AGDE,AVIGNON CENTRE,125,"0,00146479797506328",0
PAMIERS - SAINT-AGNE,PAMIERS,SAINT-AGNE,125,"0,00146479797506328",0
BAILLARGUES - NIMES,BAILLARGUES,NIMES,123,"0,00144136120746227",0
DIEUPENTALE - TOULOUSE MATABIAU,DIEUPENTALE,TOULOUSE MATABIAU,122,"0,00142964282366176",0
LEUCATE LA FRANQUI - NARBONNE,LEUCATE LA FRANQUI,NARBONNE,121,"0,00141792443986125",0
LONGAGES - NOê - TOULOUSE MATABIAU,LONGAGES,NOê,119,"0,00139448767226024",0
NARBONNE - PORT BOU FRONTIERE,NARBONNE,PORT BOU FRONTIERE,117,"0,00137105090465923",0
AUCH - SAINT-AGNE,AUCH,SAINT-AGNE,116,"0,00135933252085872",0
GRISOLLES - TOULOUSE MATABIAU,GRISOLLES,TOULOUSE MATABIAU,112,"0,0013124589856567",0
SAINT-JORY - TOULOUSE MATABIAU,SAINT-JORY,TOULOUSE MATABIAU,112,"0,0013124589856567",0
ELNE - TOULOUSE MATABIAU,ELNE,TOULOUSE MATABIAU,111,"0,00130074060185619",0
TOULOUSE MATABIAU - VARILHES,TOULOUSE MATABIAU,VARILHES,110,"0,00128902221805569",0
MURET - TARBES,MURET,TARBES,109,"0,00127730383425518",0
CARCASSONNE - CASTELNAUDARY,CARCASSONNE,CASTELNAUDARY,108,"0,00126558545045467",0
ALBI - RODEZ,ALBI,RODEZ,106,"0,00124214868285366",0
CINTEGABELLE - TOULOUSE MATABIAU,CINTEGABELLE,TOULOUSE MATABIAU,102,"0,00119527514765164",0
